Excel Sample Data,,,,,,
,,,,,,
Project Management Data,,,,,,
,,,,,,
Project Name,Task Name,Assigned to,Start Date,Days Required,End Date,Progress
Marketing,Market Research,Alice,1/1/2024,13,1/14/2024,78%
Marketing,Content Creation,Bob,1/14/2024,14,1/28/2024,100%
Marketing,Social Media Planning,Charlie,1/28/2024,22,2/19/2024,45%
Marketing,Campaign Analysis,Daisy,2/18/2024,25,3/14/2024,0%
Product Dev,Prototype Development,Ethan,1/2/2024,18,1/20/2024,100%
Product Dev,Quality Assurance,Fiona,1/20/2024,10,1/30/2024,78%
Product Dev,User Interface Design,Gabriel,2/4/2024,25,2/29/2024,0%
Customer Svc,Service Improvement,Hannah,2/1/2024,22,2/23/2024,100%
Customer Svc,Ticket Resolution,Ian,2/24/2024,25,3/20/2024,100%
Customer Svc,Customer Feedback,Julia,3/21/2024,30,4/20/2024,0%
Financial,Budget Analysis,Kevin,2/2/2024,22,2/24/2024,10%
Financial,Financial Reporting,Mark,2/13/2024,21,2/9/2024,78%
Financial,Investment Planning,Mark,3/19/2024,25,4/13/2024,100%
Research,Market Trends Analysis,Nathan,1/2/2024,23,1/25/2024,50%
Research,Data Collection,Olivia,1/26/2024,32,2/27/2024,0%
Research,Research Paper Writing,Peter,2/28/2024,27,3/26/2024,0%
Development,Software Development,Quinn,1/2/2024,36,2/7/2024,100%
Development,Feature Enhancement,Rachel,2/8/2024,34,3/13/2024,0%
Development,Code Review,Sam,3/14/2024,30,4/13/2024,0%
Production,Manufacturing,Tim,1/3/2024,47,2/19/2024,30%
Production,Quality Control,Ursula,2/17/2024,27,3/15/2024,0%
Production,Packaging Design,Victor,3/14/2024,22,4/5/2024,0%
Sales,Lead Generation,Wendy,1/3/2024,60,3/3/2024,70%
Sales,Client Meetings,Xavier,1/6/2024,20,1/26/2024,78%
Sales,Contract Negotiation,Yvette,2/3/2024,35,3/9/2024,0%
Support,Technical Support,Zoe,1/1/2024,25,1/26/2024,100%
Support,Bug Fixes,Aaron,1/27/2024,31,2/27/2024,100%
Support,Software Updates,Bella,3/2/2024,22,3/24/2024,0%
Operations,Process Optimization,Calvin,1/3/2024,30,2/2/2024,40%
Operations,Inventory Management,Diane,2/3/2024,25,2/28/2024,0%
Operations,Facility Maintenance,Edward,2/29/2024,20,3/20/2024,0%
Consulting,Strategic Planning,Fiona,1/2/2024,35,2/6/2024,60%
Consulting,Market Expansion,Gary,2/2/2024,32,3/5/2024,0%
Consulting,Client Advisory,Helen,3/6/2024,25,3/31/2024,0%
Training,Employee Training,Isaac,1/4/2024,27,1/31/2024,80%
Training,Certification Programs,Jane,1/28/2024,30,2/27/2024,0%
Training,Skill Development,Kyle,2/28/2024,22,3/21/2024,0%
Events,Event Planning,Laura,1/3/2024,25,1/28/2024,30%
Events,Conference Management,Mike,2/3/2024,20,2/23/2024,0%
Events,Sponsorship Coordinatio,n Nancy,2/24/2024,35,3/30/2024,0%
Logistics,Supply Chain Management,Oscar,1/3/2024,25,1/28/2024,50%
Logistics,Transportation Planning,Patricia,1/29/2024,30,2/28/2024,100%
Logistics,Inventory Optimization,Quentin,3/29/2024,20,4/18/2024,0%
Engineering,Product Design,Rachel,1/2/2024,25,1/27/2024,20%
Engineering,System Integration,Sam,2/2/2024,22,2/24/2024,0%
Engineering,Prototype Testing,Tom,2/23/2024,27,3/21/2024,0%
